AgenteCausale,DescrAgenteCausale,Gruppo,DescrGruppo,GrandeGruppo,DescrGrandeGruppo,,
12420005,Anidride maleica (MA),3,ALCOLI,,,,
12431101,Formiato metilico,3,ALCOLI,,,,
12431501,Ossalati,3,ALCOLI,,,,
12432005,Acetato di etere metilico glicolico dietilenico,3,ALCOLI,,,,
12434199,altro,3,ALCOLI,,,,
12435001,Esteri eterociclici,3,ALCOLI,,,,
12452001,Tioglicolati,3,ALCOLI,,,,
12464001,li di acidi carbossilici eterociclici,3,ALCOLI,,,,
12494001,Dicicloessilcarbodiimide,3,ALCOLI,,,,
12501001,Cloruro di acetile,3,ALCOLI,,,,
12521002,Propionitrile,3,ALCOLI,,,,
12521008,Lattonitrile,3,ALCOLI,,,,
12521027,Iossinile,3,ALCOLI,,,,
12521031,Amilonitrile (it),3,ALCOLI,,,,
12522001,Isocianato di metile,3,ALCOLI,,,,
12522005,Diisocianato di esametilene,,,,,,
12522006,Cianato di sodio,3,ALCOLI,,,,
12531108,Isopropilammina (it),3,ALCOLI,,,,
12531110,Butilammina (n-butilammina,,,,,,
12531122,2-Aminoantrachinone (arancio rosso) (it),3,ALCOLI,,,,
12531399,altro,3,ALCOLI,,,,
12531401,Nitroderivati di ammine alifatiche,3,ALCOLI,,,,
12532102,Tetrammina esametilene,,,,,,
12532199,altro,3,ALCOLI,,,,
12533110,Alfa-nafttilammina (1-nafttilammina),3,ALCOLI,,,,
12533399,altro,3,ALCOLI,,,,
12533501,N-metil-p-nitrosoanilina,3,ALCOLI,,,,
12533602,3,,,,,,
12533699,altro,3,ALCOLI,,,,
12534103,Nicotina,3,ALCOLI,,,,
11110103,Idruri,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110199,altro,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110303,Solfuro di sodio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
11110403,Nitrati di potassio,1,AGENTI CHIMICI INORGANICI GRUPPO A,1,AGENTI CHIMICI INORGANICI,,
